Period,Rank,Fund,Max Drawdown (%)
2019-07,6,202002,-3.7268
2019-07,7,377010,-6.0104
2019-07,8,163402,-5.1875
2019-07,9,270006,-4.2885
2019-07,10,050001,-3.6288
2019-10,1,202002,-4.0943
2019-10,2,070002,-6.5335
2019-10,3,161005,-3.8815
2019-10,4,270006,-4.276
2019-10,5,050001,-2.022
2019-10,6,110011,-6.3991
2019-10,7,377010,-2.7225
2019-10,8,260116,-4.6734
2019-10,9,163402,-3.4007
2019-10,10,040001,-3.7929
2020-01,1,377010,-16.6127
2020-01,2,050001,-11.6329
2020-01,3,260116,-15.6802
2020-01,4,040001,-12.6021
2020-01,5,163402,-13.1205
2020-01,6,161005,-16.8151
2020-01,7,270006,-16.3318
2020-01,8,202002,-15.4292
2020-01,9,070002,-13.0353
2020-01,10,110011,-15.7604
2020-04,1,070002,-3.0083
2020-04,2,202002,-3.5854
2020-04,3,163402,-4.0848
2020-04,4,050001,-3.7217
2020-04,5,270006,-2.6419
2020-04,6,377010,-4.9124
2020-04,7,161005,-4.0351
2020-04,8,260116,-3.306
2020-04,9,110011,-3.1512
2020-04,10,040001,-3.4588
2020-07,1,070002,-8.3299
2020-07,2,161005,-7.0775
2020-07,3,110011,-8.3414
2020-07,4,202002,-9.2443
2020-07,5,260116,-7.0554
2020-07,6,377010,-5.7964
2020-07,7,270006,-6.873
2020-07,8,050001,-7.9879
2020-07,9,040001,-6.5695
2020-07,10,163402,-5.7504
2020-10,1,377010,-7.2145
2020-10,2,110011,-3.5571
2020-10,3,040001,-6.2761
2020-10,4,161005,-4.898
2020-10,5,163402,-4.7103
2020-10,6,270006,-3.381
2020-10,7,260116,-5.5824
2020-10,8,070002,-6.1582
2020-10,9,202002,-6.2936
2020-10,10,050001,-3.5079
2021-01,1,110011,-23.9973
2021-01,2,270006,-19.6227
2021-01,3,050001,-19.9683
2021-01,4,260116,-19.6161
2021-01,5,040001,-16.2704
2021-01,6,161005,-16.4073
2021-01,7,202002,-20.666
2021-01,8,070002,-19.2926
2021-01,9,163402,-10.1781
2021-01,10,377010,-7.196
2021-04,1,377010,-6.3239
2021-04,2,163402,-5.4695
2021-04,3,050001,-4.7484
2021-04,4,161005,-5.5667
2021-04,5,270006,-4.3791
2021-04,6,070002,-4.3554
2021-04,7,040001,-4.4077
2021-04,8,110011,-7.8084
2021-04,9,202002,-4.1001
2021-04,10,260116,-6.3096
2021-07,1,202002,-9.9667
2021-07,2,070002,-13.2531
2021-07,3,040001,-9.2932
2021-07,4,270006,-10.1467
2021-07,5,260116,-9.2034
2021-07,6,161005,-10.3814
2021-07,7,050001,-10.0852
2021-07,8,110011,-14.3383
2021-07,9,377010,-7.9241
2021-07,10,163402,-5.3534
2021-10,1,040001,-4.9685
2021-10,2,270006,-6.53
2021-10,3,260116,-7.3978
2021-10,4,377010,-4.6705
2021-10,5,163402,-3.9082
2021-10,6,202002,-6.452
2021-10,7,050001,-5.3754
2021-10,8,161005,-3.685
2021-10,9,110011,-7.8441
2021-10,10,070002,-4.4907
2022-01,1,040001,-18.0696
2022-01,2,163402,-16.0332
2022-01,3,270006,-8.8428
2022-01,4,377010,-21.068
2022-01,5,161005,-22.5698
2022-01,6,260116,-19.5563
2022-01,7,202002,-14.745
2022-01,8,110011,-27.1933
2022-01,9,050001,-12.8613
2022-01,10,070002,-18.6316
2022-04,1,270006,-17.2208
2022-04,2,050001,-9.9758
2022-04,3,163402,-13.2537
2022-04,4,202002,-14.5196
2022-04,5,260116,-12.5194
2022-04,6,110011,-8.2178
2022-04,7,377010,-12.045
2022-04,8,070002,-9.4396
2022-04,9,040001,-18.2587
2022-04,10,161005,-11.095
2022-07,1,110011,-15.6294
2022-07,2,260116,-16.1167
2022-07,3,040001,-13.1105
2022-07,4,377010,-16.855
2022-07,5,070002,-10.4045
2022-07,6,161005,-14.177
2022-07,7,202002,-10.4058
2022-07,8,270006,-14.0656
2022-07,9,050001,-10.3453
2022-07,10,163402,-9.4245
2022-10,1,163402,-6.1949
2022-10,2,202002,-8.1306
2022-10,3,070002,-6.0129
2022-10,4,050001,-5.6744
2022-10,5,270006,-9.2665
2022-10,6,040001,-12.2967
2022-10,7,260116,-6.5326
2022-10,8,110011,-19.1134
2022-10,9,161005,-7.4315
2022-10,10,377010,-7.7774
2023-01,1,070002,-5.4905
2023-01,2,110011,-15.3048
2023-01,3,161005,-7.1066
2023-01,4,270006,-10.6926
2023-01,5,377010,-6.9302
2023-01,6,050001,-6.1987
2023-01,7,260116,-8.4066
2023-01,8,163402,-6.6487
2023-01,9,202002,-5.1317
2023-01,10,040001,-10.5154
2023-04,1,377010,-12.6991
2023-04,2,070002,-11.5872
2023-04,3,260116,-8.3449
2023-04,4,161005,-7.1745
2023-04,5,050001,-6.7447
2023-04,6,270006,-14.516
2023-04,7,202002,-7.0521
2023-04,8,110011,-14.5891
2023-04,9,163402,-10.1268
2023-04,10,040001,-10.4695
2023-07,1,163402,-8.8552
2023-07,2,050001,-7.2311
2023-07,3,202002,-7.3122
2023-07,4,377010,-14.914
2023-07,5,260116,-6.7404
2023-07,6,161005,-6.2879
2023-07,7,040001,-11.0147
2023-07,8,070002,-9.89
2023-07,9,270006,-11.5025
2023-07,10,110011,-11.2703
2023-10,1,110011,-16.1516
2023-10,2,260116,-8.1997
2023-10,3,161005,-9.198
2023-10,4,050001,-8.4175
2023-10,5,202002,-7.7529
2023-10,6,040001,-10.6164
2023-10,7,163402,-11.9015
2023-10,8,070002,-8.4681
2023-10,9,270006,-14.1863
2023-10,10,377010,-12.8623
2024-01,1,260116,-5.2005
2024-01,2,050001,-8.6547
2024-01,3,202002,-7.5336
2024-01,4,070002,-12.0409
2024-01,5,161005,-11.2392
2024-01,6,040001,-20.9342
2024-01,7,163402,-9.8829
2024-01,8,377010,-11.464
2024-01,9,270006,-11.1892
2024-01,10,110011,-9.2756
2024-04,1,260116,-6.8874
2024-04,2,050001,-3.4039
2024-04,3,202002,-7.9364
2024-04,4,270006,-10.8736
2024-04,5,163402,-4.3391
2024-04,6,377010,-5.3793
2024-04,7,110011,-11.5909
2024-04,8,161005,-9.6884
2024-04,9,070002,-7.9118
2024-04,10,040001,-11.0771
2024-07,1,260116,-11.9271
2024-07,2,050001,-7.9503
2024-07,3,377010,-11.1609
2024-07,4,163402,-11.5792
2024-07,5,161005,-12.5529
2024-07,6,070002,-7.7781
2024-07,7,202002,-7.5415
2024-07,8,040001,-10.7727
2024-07,9,110011,-10.6406
2024-07,10,270006,-12.4818
2024-10,1,110011,-10.7678
2024-10,2,377010,-11.8877
2024-10,3,040001,-11.4926
2024-10,4,070002,-8.9121
2024-10,5,161005,-13.0532
2024-10,6,163402,-9.0047
2024-10,7,202002,-8.1864
2024-10,8,050001,-9.1118
2024-10,9,260116,-11.1418
2024-10,10,270006,-10.7207
