Period,Rank,Fund,Return (%)
2018-10,3,202002,-13.3595
2018-10,4,110011,-15.2346
2018-10,5,040001,-9.7308
2018-10,6,050001,-4.4475
2018-10,7,260116,-12.8404
2018-10,8,161005,-16.752
2018-10,9,270006,-13.336
2018-10,10,377010,-16.0488
2019-01,1,050001,25.9397
2019-01,2,163402,28.2338
2019-01,3,040001,23.7702
2019-01,4,070002,23.7411
2019-01,5,260116,31.198
2019-01,6,270006,32.0008
2019-01,7,202002,16.6047
2019-01,8,110011,35.1922
2019-01,9,377010,29.3132
2019-01,10,161005,36.9071
2019-04,1,161005,1.8568
2019-04,2,110011,11.4057
2019-04,3,270006,-1.292
2019-04,4,260116,1.23
2019-04,5,377010,-0.4712
2019-04,6,163402,-0.4922
2019-04,7,050001,-1.8894
2019-04,8,040001,2.7575
2019-04,9,070002,7.5788
2019-04,10,202002,0.4047
2019-07,1,110011,5.2486
2019-07,2,070002,7.6666
2019-07,3,040001,1.278
2019-07,4,161005,7.6307
2019-07,5,260116,3.9822
2019-07,6,202002,13.2932
2019-07,7,377010,5.2083
2019-07,8,163402,3.2202
2019-07,9,270006,7.5943
2019-07,10,050001,5.7993
2019-10,1,202002,7.0757
2019-10,2,070002,6.3074
2019-10,3,161005,8.0748
2019-10,4,270006,8.0345
2019-10,5,050001,11.6779
2019-10,6,110011,4.6069
2019-10,7,377010,16.6959
2019-10,8,260116,9.4558
2019-10,9,163402,8.2426
2019-10,10,040001,8.3765
2020-01,1,377010,-3.1589
2020-01,2,050001,-0.2592
2020-01,3,260116,-4.4515
2020-01,4,040001,-8.2729
2020-01,5,163402,2.1802
2020-01,6,161005,-4.0078
2020-01,7,270006,-2.4464
2020-01,8,202002,3.9681
2020-01,9,070002,4.5572
2020-01,10,110011,-4.7084
2020-04,1,070002,28.3969
2020-04,2,202002,26.1141
2020-04,3,163402,13.347
2020-04,4,050001,16.0851
2020-04,5,270006,19.7042
2020-04,6,377010,19.7796
2020-04,7,161005,28.2359
2020-04,8,260116,21.6855
2020-04,9,110011,28.1514
2020-04,10,040001,14.9326
2020-07,1,070002,10.2041
2020-07,2,161005,14.7489
2020-07,3,110011,18.2501
2020-07,4,202002,8.4196
2020-07,5,260116,12.2932
2020-07,6,377010,22.2005
2020-07,7,270006,14.0155
2020-07,8,050001,4.3245
2020-07,9,040001,16.6008
2020-07,10,163402,14.4622
2020-10,1,377010,4.2139
2020-10,2,110011,27.5979
2020-10,3,040001,14.9647
2020-10,4,161005,12.2554
2020-10,5,163402,11.6789
2020-10,6,270006,16.3825
2020-10,7,260116,15.0679
2020-10,8,070002,11.9314
2020-10,9,202002,12.1588
2020-10,10,050001,16.0555
2021-01,1,110011,-4.6288
2021-01,2,270006,-2.8029
2021-01,3,050001,0.6946
2021-01,4,260116,-8.8094
2021-01,5,040001,-4.3161
2021-01,6,161005,-1.023
2021-01,7,202002,-6.7629
2021-01,8,070002,-2.9982
2021-01,9,163402,1.1428
2021-01,10,377010,11.0849
2021-04,1,377010,1.0013
2021-04,2,163402,-1.3608
2021-04,3,050001,4.2921
2021-04,4,161005,6.9683
2021-04,5,270006,9.4626
2021-04,6,070002,14.4996
2021-04,7,040001,12.1166
2021-04,8,110011,2.5175
2021-04,9,202002,17.0849
2021-04,10,260116,9.1833
2021-07,1,202002,-5.4062
2021-07,2,070002,-10.3592
2021-07,3,040001,10.2861
2021-07,4,270006,2.937
2021-07,5,260116,1.9469
2021-07,6,161005,-8.3786
2021-07,7,050001,-6.4028
2021-07,8,110011,-10.3214
2021-07,9,377010,0.8647
2021-07,10,163402,-2.3336
2021-10,1,040001,8.515
2021-10,2,270006,5.0012
2021-10,3,260116,3.393
2021-10,4,377010,4.8993
2021-10,5,163402,6.4083
2021-10,6,202002,-0.5758
2021-10,7,050001,-1.6121
2021-10,8,161005,3.6071
2021-10,9,110011,-1.2263
2021-10,10,070002,-2.378
2022-01,1,040001,-18.2651
2022-01,2,163402,-13.5183
2022-01,3,270006,-4.1783
2022-01,4,377010,-17.4792
2022-01,5,161005,-18.8913
2022-01,6,260116,-16.6504
2022-01,7,202002,-13.6206
2022-01,8,110011,-17.0633
2022-01,9,050001,-10.2866
2022-01,10,070002,-17.6123
2022-04,1,270006,6.6328
2022-04,2,050001,4.4249
2022-04,3,163402,0.9357
2022-04,4,202002,6.9419
2022-04,5,260116,11.9036
2022-04,6,110011,13.4685
2022-04,7,377010,10.268
2022-04,8,070002,9.4651
2022-04,9,040001,10.6697
2022-04,10,161005,8.316
2022-07,1,110011,-14.3439
2022-07,2,260116,-14.1859
2022-07,3,040001,-11.8151
2022-07,4,377010,-17.1792
2022-07,5,070002,-9.3827
2022-07,6,161005,-14.5747
2022-07,7,202002,-8.675
2022-07,8,270006,-10.9389
2022-07,9,050001,-10.2066
2022-07,10,163402,-8.3071
2022-10,1,163402,-2.1853
2022-10,2,202002,-2.8438
2022-10,3,070002,6.3927
2022-10,4,050001,-0.7959
2022-10,5,270006,-0.2366
2022-10,6,040001,-3.101
2022-10,7,260116,-1.4827
2022-10,8,110011,6.2654
2022-10,9,161005,1.3217
2022-10,10,377010,-0.7561
2023-01,1,070002,4.9507
2023-01,2,110011,0.7653
2023-01,3,161005,3.9469
2023-01,4,270006,2.4541
2023-01,5,377010,6.529
2023-01,6,050001,2.9748
2023-01,7,260116,4.0597
2023-01,8,163402,0.2229
2023-01,9,202002,1.8159
2023-01,10,040001,-2.0509
2023-04,1,377010,-3.3654
2023-04,2,070002,-7.3769
2023-04,3,260116,-3.4334
2023-04,4,161005,-4.0269
2023-04,5,050001,-1.3337
2023-04,6,270006,-9.2314
2023-04,7,202002,-3.352
2023-04,8,110011,-11.5845
2023-04,9,163402,0.0217
2023-04,10,040001,-4.7999
2023-07,1,163402,-8.3967
2023-07,2,050001,-5.4728
2023-07,3,202002,-6.5475
2023-07,4,377010,-11.615
2023-07,5,260116,-1.4798
2023-07,6,161005,-2.8432
2023-07,7,040001,-7.9634
2023-07,8,070002,-8.4971
2023-07,9,270006,-9.847
2023-07,10,110011,-0.9709
2023-10,1,110011,-11.0792
2023-10,2,260116,-5.5174
2023-10,3,161005,-7.0816
2023-10,4,050001,-6.1128
2023-10,5,202002,-6.2057
2023-10,6,040001,-7.3781
2023-10,7,163402,-7.3928
2023-10,8,070002,-6.6653
2023-10,9,270006,-10.6844
2023-10,10,377010,-10.5239
2024-01,1,260116,6.4712
2024-01,2,050001,5.1416
2024-01,3,202002,1.8393
2024-01,4,070002,-5.3037
2024-01,5,161005,-0.5683
2024-01,6,040001,-6.4584
2024-01,7,163402,0.2202
2024-01,8,377010,0.0816
2024-01,9,270006,1.2545
2024-01,10,110011,-0.4641
2024-04,1,260116,1.8299
2024-04,2,050001,1.5837
2024-04,3,202002,-2.2906
2024-04,4,270006,-8.7295
2024-04,5,163402,-0.2077
2024-04,6,377010,0.2669
2024-04,7,110011,-3.8342
2024-04,8,161005,-1.1426
2024-04,9,070002,-1.3362
2024-04,10,040001,-3.5975
2024-07,1,260116,7.5626
2024-07,2,050001,7.8431
2024-07,3,377010,14.7484
2024-07,4,163402,10.4027
2024-07,5,161005,10.4423
2024-07,6,070002,10.6318
2024-07,7,202002,8.813
2024-07,8,040001,13.989
2024-07,9,110011,17.8817
2024-07,10,270006,7.2684
2024-10,1,110011,-9.8889
2024-10,2,377010,-1.0019
2024-10,3,040001,-0.3438
2024-10,4,070002,-2.6256
2024-10,5,161005,-6.7309
2024-10,6,163402,-2.0177
2024-10,7,202002,-2.7043
2024-10,8,050001,-4.6975
2024-10,9,260116,-7.9508
2024-10,10,270006,-5.8997
