Date,Capital Value,Fund Code,Fund Type
2013-01-16,106.16632014600704,161005,Strategy Fund
2013-01-16,104.06229511730263,163402,Strategy Fund
2013-01-16,103.79356120871364,202002,Strategy Fund
2013-01-16,105.05739919871671,260116,Strategy Fund
2013-01-16,105.84583126798404,270006,Strategy Fund
2013-01-16,106.02506820604387,377010,Strategy Fund
2013-01-16,106.00405274384566,519008,Strategy Fund
2013-01-17,100.34655699582333,Shanghai Composite,Index
2013-01-17,100.85494715446428,040001,Mutual Fund
2013-01-17,99.04489936748297,050001,Mutual Fund
2013-01-17,104.28252288466287,070002,Mutual Fund
2013-01-17,103.91577985474365,110011,Mutual Fund
2013-01-17,103.5293703100092,161005,Mutual Fund
2013-01-17,102.55719093094167,163402,Mutual Fund
2013-01-17,101.47547151122626,202002,Mutual Fund
2013-01-17,102.18002857744237,260116,Mutual Fund
2013-01-17,103.54402994393404,270006,Mutual Fund
2013-01-17,103.42053241933033,377010,Mutual Fund
2013-01-17,102.88606248554419,040001,Strategy Fund
2013-01-17,101.40129119593648,050001,Strategy Fund
2013-01-17,104.59369472514956,070002,Strategy Fund
2013-01-17,104.63825674422165,110011,Strategy Fund
2013-01-17,105.39304562346462,161005,Strategy Fund
2013-01-17,103.3144160992822,163402,Strategy Fund
2013-01-17,103.03967771054863,202002,Strategy Fund
2013-01-17,103.91099343271819,260116,Strategy Fund
2013-01-17,105.11225732927475,270006,Strategy Fund
2013-01-17,105.30916926663937,377010,Strategy Fund
2013-01-17,105.47292852592437,519008,Strategy Fund
2013-01-18,101.76144344946442,Shanghai Composite,Index
2013-01-18,101.86349662600891,040001,Mutual Fund
2013-01-18,100.1244887705885,050001,Mutual Fund
2013-01-18,105.67990869131737,070002,Mutual Fund
2013-01-18,106.13957754363517,110011,Mutual Fund
2013-01-18,105.24795785715536,161005,Mutual Fund
2013-01-18,103.81864437939224,163402,Mutual Fund
2013-01-18,102.93671830098792,202002,Mutual Fund
2013-01-18,103.83534504039693,260116,Mutual Fund
2013-01-18,105.01435516913789,270006,Mutual Fund
2013-01-18,104.65123675512035,377010,Mutual Fund
2013-01-18,104.3090299950221,040001,Strategy Fund
2013-01-18,103.00184816625801,050001,Strategy Fund
2013-01-18,105.9796579934677,070002,Strategy Fund
2013-01-18,106.17729487238357,110011,Strategy Fund
2013-01-18,106.6097507718881,161005,Strategy Fund
2013-01-18,104.8572043751823,163402,Strategy Fund
2013-01-18,104.5846528506684,202002,Strategy Fund
2013-01-18,105.36888739259516,260116,Strategy Fund
2013-01-18,106.42337561436123,270006,Strategy Fund
2013-01-18,106.72497662536612,377010,Strategy Fund
2013-01-18,106.92225447364197,519008,Strategy Fund
2013-01-21,102.24989837802185,Shanghai Composite,Index
2013-01-21,102.19964616487476,040001,Mutual Fund
2013-01-21,100.1244887705885,050001,Mutual Fund
2013-01-21,105.45798088306559,070002,Mutual Fund
2013-01-21,105.75747506447809,110011,Mutual Fund
2013-01-21,105.32163142765533,161005,Mutual Fund
2013-01-21,103.5694796328817,163402,Mutual Fund
2013-01-21,102.59702713059467,202002,Mutual Fund
2013-01-21,104.18838521353429,260116,Mutual Fund
2013-01-21,104.36326616708924,270006,Mutual Fund
2013-01-21,105.195423186247,377010,Mutual Fund
2013-01-21,104.77709477095422,040001,Strategy Fund
2013-01-21,103.31190087744548,050001,Strategy Fund
2013-01-21,106.18867217254426,070002,Strategy Fund
2013-01-21,106.29239651946641,110011,Strategy Fund
2013-01-21,106.14938009221476,161005,Strategy Fund
2013-01-21,105.07152659052912,163402,Strategy Fund
2013-01-21,104.60739309239793,202002,Strategy Fund
2013-01-21,105.97576421824742,260116,Strategy Fund
2013-01-21,106.07450928219974,270006,Strategy Fund
2013-01-21,107.14675912185197,377010,Strategy Fund
2013-01-21,107.1294225738641,519008,Strategy Fund
2013-01-22,101.67729894710493,Shanghai Composite,Index
2013-01-22,100.85061083549843,040001,Mutual Fund
2013-01-22,100.39482489026909,050001,Mutual Fund
2013-01-22,105.08887794997486,070002,Mutual Fund
2013-01-22,104.55183984874303,110011,Mutual Fund
2013-01-22,104.05777185052347,161005,Mutual Fund
2013-01-22,103.20698645416661,163402,Mutual Fund
2013-01-22,102.2276778329245,202002,Mutual Fund
2013-01-22,102.79226085167295,260116,Mutual Fund
2013-01-22,103.15265227955099,270006,Mutual Fund
2013-01-22,103.35450328048768,377010,Mutual Fund
2013-01-22,103.25454262738889,040001,Strategy Fund
2013-01-22,102.81146527095497,050001,Strategy Fund
2013-01-22,104.97758142285834,070002,Strategy Fund
2013-01-22,105.0030205283418,110011,Strategy Fund
2013-01-22,104.97515419431751,161005,Strategy Fund
2013-01-22,104.37918766903202,163402,Strategy Fund
2013-01-22,103.88529540445408,202002,Strategy Fund
2013-01-22,104.62446872404199,260116,Strategy Fund
2013-01-22,104.8160021303713,270006,Strategy Fund
2013-01-22,105.75279281498268,377010,Strategy Fund
2013-01-22,106.02854097353132,519008,Strategy Fund
2013-01-23,101.93149219447271,Shanghai Composite,Index
2013-01-23,100.85061083549843,040001,Mutual Fund
2013-01-23,100.39482489026909,050001,Mutual Fund
2013-01-23,104.9837890720249,070002,Mutual Fund
2013-01-23,104.56229503272792,110011,Mutual Fund
2013-01-23,104.2658873942245,161005,Mutual Fund
2013-01-23,103.39275902978413,163402,Mutual Fund
2013-01-23,102.50369256307341,202002,Mutual Fund
2013-01-23,102.53528019954376,260116,Mutual Fund
2013-01-23,103.16296754477897,270006,Mutual Fund
2013-01-23,103.62322498901693,377010,Mutual Fund
2013-01-23,103.43154492275065,040001,Strategy Fund
2013-01-23,103.32035045810908,050001,Strategy Fund
2013-01-23,105.49110727832127,070002,Strategy Fund
2013-01-23,105.33791421231014,110011,Strategy Fund
2013-01-23,105.48263099306962,161005,Strategy Fund
2013-01-23,104.93848804877007,163402,Strategy Fund
2013-01-23,104.37754734802883,202002,Strategy Fund
2013-01-23,105.11126593641582,260116,Strategy Fund
2013-01-23,105.16514037212585,270006,Strategy Fund
2013-01-23,106.1884963095358,377010,Strategy Fund
2013-01-23,106.58452960827569,519008,Strategy Fund
2013-01-24,101.12623340613635,Shanghai Composite,Index
2013-01-24,99.33785167296594,040001,Mutual Fund
2013-01-24,100.12375886306538,050001,Mutual Fund
2013-01-24,104.09142686491268,070002,Mutual Fund
2013-01-24,103.55849700041371,110011,Mutual Fund
2013-01-24,102.04502399272755,161005,Mutual Fund
2013-01-24,102.42086709490417,163402,Mutual Fund
2013-01-24,101.42740379116113,202002,Mutual Fund
2013-01-24,101.04851863665039,260116,Mutual Fund
2013-01-24,101.34729931599087,270006,Mutual Fund
2013-01-24,101.94452874419486,377010,Mutual Fund
2013-01-24,101.74936181881662,040001,Strategy Fund
2013-01-24,102.42667830749485,050001,Strategy Fund
2013-01-24,103.92715122002703,070002,Strategy Fund
2013-01-24,104.16151887016201,110011,Strategy Fund
2013-01-24,103.8364748676565,161005,Strategy Fund
2013-01-24,103.95397189585123,163402,Strategy Fund
2013-01-24,103.36873977454427,202002,Strategy Fund
2013-01-24,103.57175894872461,260116,Strategy Fund
2013-01-24,103.7403318152531,270006,Strategy Fund
2013-01-24,104.80308389813796,377010,Strategy Fund
2013-01-24,105.39482983703623,519008,Strategy Fund
2013-01-25,100.6307148624463,Shanghai Composite,Index
2013-01-25,99.50672602080999,040001,Mutual Fund
2013-01-25,99.04242226734425,050001,Mutual Fund
2013-01-25,103.91447143924233,070002,Mutual Fund
2013-01-25,104.20055968181627,110011,Mutual Fund
2013-01-25,102.49402209829552,161005,Mutual Fund
2013-01-25,102.2774778809713,163402,Mutual Fund
2013-01-25,100.95069499334268,202002,Mutual Fund
2013-01-25,101.48302726678797,260116,Mutual Fund
2013-01-25,101.10406579763249,270006,Mutual Fund
2013-01-25,102.02608436719021,377010,Mutual Fund
2013-01-25,101.78918495804959,040001,Strategy Fund
2013-01-25,101.71241555692828,050001,Strategy Fund
2013-01-25,103.95372818362121,070002,Strategy Fund
2013-01-25,104.46737763034957,110011,Strategy Fund
2013-01-25,103.5916409849031,161005,Strategy Fund
2013-01-25,103.8046422642021,163402,Strategy Fund
2013-01-25,102.96661350822089,202002,Strategy Fund
2013-01-25,103.84154809491997,260116,Strategy Fund
2013-01-25,103.54550828596281,270006,Strategy Fund
2013-01-25,105.44991342105416,377010,Strategy Fund
2013-01-25,105.88505952696967,519008,Strategy Fund
2013-01-28,103.05591509063126,Shanghai Composite,Index
2013-01-28,101.52671255903243,040001,Mutual Fund
2013-01-28,100.80537738370299,050001,Mutual Fund
2013-01-28,105.6602345594216,070002,Mutual Fund
2013-01-28,106.09700986802532,110011,Mutual Fund
2013-01-28,104.89238221539566,161005,Mutual Fund
2013-01-28,104.53781014214076,163402,Mutual Fund
2013-01-28,103.03027931020551,202002,Mutual Fund
2013-01-28,104.27381051662465,260116,Mutual Fund
2013-01-28,101.96345035691235,270006,Mutual Fund
2013-01-28,104.66855995230044,377010,Mutual Fund
2013-01-28,103.82908044451793,040001,Strategy Fund
2013-01-28,104.6616235823987,050001,Strategy Fund
2013-01-28,106.14003587974562,070002,Strategy Fund
2013-01-28,106.65928949524144,110011,Strategy Fund
2013-01-28,104.97625807514326,161005,Strategy Fund
2013-01-28,106.57266404048598,163402,Strategy Fund
2013-01-28,105.4021562757772,202002,Strategy Fund
2013-01-28,106.66896002613943,260116,Strategy Fund
2013-01-28,104.94801697818164,270006,Strategy Fund
2013-01-28,107.99474093359616,377010,Strategy Fund
2013-01-28,108.44096711751641,519008,Strategy Fund
2013-01-29,103.60211144061162,Shanghai Composite,Index
2013-01-29,101.6993079703828,040001,Mutual Fund
2013-01-29,101.349726421575,050001,Mutual Fund
2013-01-29,106.14627163839494,070002,Mutual Fund
2013-01-29,106.44713000058982,110011,Mutual Fund
2013-01-29,105.29097326781415,161005,Mutual Fund
2013-01-29,105.01868406879463,163402,Mutual Fund
2013-01-29,103.76179429330799,202002,Mutual Fund
2013-01-29,105.3165486217909,260116,Mutual Fund
2013-01-29,102.63640912926797,270006,Mutual Fund
2013-01-29,105.56870956789022,377010,Mutual Fund
2013-01-29,104.28507302836533,040001,Strategy Fund
2013-01-29,105.61508036540674,050001,Strategy Fund
2013-01-29,106.67938946914622,070002,Strategy Fund
2013-01-29,106.8651374779831,110011,Strategy Fund
2013-01-29,105.19830535441903,161005,Strategy Fund
2013-01-29,107.31775917554441,163402,Strategy Fund
2013-01-29,106.04168109358294,202002,Strategy Fund
2013-01-29,107.39340741634224,260116,Strategy Fund
2013-01-29,104.99624531715004,270006,Strategy Fund
2013-01-29,108.31276477748195,377010,Strategy Fund
2013-01-29,108.88478364511091,519008,Strategy Fund
2013-01-30,104.63813255501775,Shanghai Composite,Index
2013-01-30,102.03491568668508,040001,Mutual Fund
2013-01-30,102.83956739997213,050001,Mutual Fund
2013-01-30,106.14627163839494,070002,Mutual Fund
2013-01-30,106.56422184359049,110011,Mutual Fund
2013-01-30,105.5963170902908,161005,Mutual Fund
2013-01-30,105.12370275286341,163402,Mutual Fund
2013-01-30,104.08345585561727,202002,Mutual Fund
2013-01-30,105.66409323224282,260116,Mutual Fund
2013-01-30,103.3446003522599,270006,Mutual Fund
2013-01-30,105.83263134180993,377010,Mutual Fund
2013-01-30,104.51113380269463,040001,Strategy Fund
2013-01-30,106.13532495113667,050001,Strategy Fund
2013-01-30,107.03776688554278,070002,Strategy Fund
2013-01-30,106.97875644097907,110011,Strategy Fund
2013-01-30,105.49231312000289,161005,Strategy Fund
2013-01-30,107.6708153784485,163402,Strategy Fund
2013-01-30,106.4201994802397,202002,Strategy Fund
2013-01-30,107.61596723907788,260116,Strategy Fund
2013-01-30,105.1913537419159,270006,Strategy Fund
2013-01-30,108.42300565249847,377010,Strategy Fund
2013-01-30,109.00529259279858,519008,Strategy Fund
2013-01-31,104.76369831408377,Shanghai Composite,Index
2013-01-31,101.52474110825165,040001,Mutual Fund
2013-01-31,102.16082625513232,050001,Mutual Fund
